site,plot,density,richeness,fisher,fire_frequency ,seasonal_precipitation,soil_PC1,soil_PC2,floristic_PCo1,floristic_PCo2,longitude,latitude
BR,1,137,39,13.0369348182586,0.3,77.2,-0.0995161206018098,2.05464930808619,-0.111727628303003,-0.0526146419003467,-47.933831,-15.734561
BR,2,168,43,11.8129384159515,1.4,76.5,0.886779927622747,1.58066994278437,-0.102675303005941,-0.109005522055799,-47.941636,-15.729392
BR,3,225,48,14.8406497491426,1.5,76.3,1.41963142524179,1.26121852735687,0.0917989259013472,-0.110618674643249,-47.952353,-15.728286
BR,4,187,39,10.5556384980305,2.8,76.2,1.54232257474585,0.678522284647135,-0.14054007142584,-0.0316070496215969,-47.961683,-15.730069
BR,5,81,32,13.0474086328381,3,76.3,1.52923578228003,0.976575727305269,-0.107792802871818,-0.0854234440956483,-47.97035,-15.732161
ITI,1,209,43,9.36569036120246,0.1,71.4,-2.65337338035022,-0.959584252017155,-0.187731456013889,-0.266275500082908,-47.923589,-22.214836
ITI,2,102,29,10.4155150220506,0.2,71.3,-3.71072918423444,0.425441770866754,-0.194697990970136,-0.299029227808477,-47.915983,-22.2088
ITI,3,108,23,7.88130037009728,0.9,71.3,-3.2873986084739,0.38116577656459,-0.122915115841656,-0.463013744767171,-47.908744,-22.202617
ITI,4,97,26,8.452463483038,0.8,72,-4.05362000084778,1.61427835479966,0.155736674197289,-0.436566028315575,-47.900383,-22.207433
ITI,5,109,31,9.51361635213853,0,72,-3.16798965037797,-0.445104163204144,-0.227243006505362,-0.246436839023626,-47.911667,-22.216992
EMA,1,131,20,5.62823371850997,0.2,70,1.77904690912537,-0.642161435781652,-0.370692085047192,-0.363585745813179,-52.892486,-18.291122
EMA,2,101,19,4.79909683358821,0.4,70,1.85589946050668,-1.50050264764294,-0.397008579272876,-0.00792087937190324,-52.882403,-18.290044
EMA,3,139,17,3.6697902884875,1.2,70,1.78331857020109,-1.09773573376595,-0.404637068374856,0.0153474423413912,-52.872783,-18.288919
EMA,4,113,24,7.03414690614187,2.4,70,1.37582449987595,-0.27863330085435,-0.420056129826244,0.0906908461071938,-52.865078,-18.282808
EMA,5,82,22,6.43063944067529,2,70,1.45204501778065,-0.556204047219066,-0.403750816511235,-0.26626800449312,-52.858708,-18.276011
SA,1,59,31,11.9885570372909,1.7,81.3,1.33575594916535,-0.835545667569208,0.0901866608750097,0.524212590180072,-52.216797,-15.831607
SA,2,83,45,17.024215729687,2.8,81.3,1.39233602408926,-0.223094141060805,-0.227981001674073,0.0995469051571627,-52.239127,-15.834548
SA,3,62,25,8.77107344576797,4.2,81.3,1.29918098315162,-0.826233623393815,-0.390490407165941,0.447530651055316,-52.230365,-15.828377
SA,4,61,24,9.77651144422199,6,81.3,2.04153303078373,0.640710857038775,-0.381878380104248,0.435678099220141,-52.232376,-15.842555
SA,5,41,15,5.20775189319343,9.5,81.2,1.51876743301518,0.37606538366361,-0.287254089571121,0.666865446934048,-52.224788,-15.83761
CA,1,134,29,7.89810042384304,2.8,88.2,2.43536116301001,0.220769769434878,1.02130460462524,-0.0135438841235663,-46.902167,-20.141139
CA,2,158,29,6.69994575272427,6.4,87.1,2.54859778973694,-0.65575211828869,1.17891931540854,-0.0888101283949376,-46.892839,-20.143342
CA,3,106,26,6.99028453253458,6.3,88.2,1.77999018378355,0.562240431094151,1.18808953162154,0.0297771813922966,-46.882486,-20.142617
CA,4,79,17,4.55646760050197,14,88.2,1.03436319335384,2.62873332446171,0.934366805482056,0.66246077237861,-46.850233,-20.146411
CA,5,38,14,4.25964302641202,27,87.1,1.00917150723804,2.41717376308076,1.04732129893841,-0.0875607198781276,-46.840522,-20.148828
CI,1,113,54,17.8351033655992,1.5,91,-3.33254726452797,0.600419170396544,-0.163785699026255,-0.195471478645697,-43.607464,-19.357883
CI,2,122,33,8.25155580135964,3.4,91.2,-1.94937896331701,-1.66478632385528,-0.0998312907259727,-0.233477180094279,-43.618708,-19.356325
CI,3,99,46,18.7686422021364,8.1,91.6,-1.50651203667099,-1.42673813867878,-0.151489437548447,-0.368077051807463,-43.614028,-19.350231
CI,4,127,40,14.4772806681496,5.6,91.1,-2.39938535912642,-1.16441792298424,-0.153544360530042,-0.525242718668097,-43.603231,-19.367389
CI,5,98,37,12.34413936703,3.5,91,-3.60848209771696,1.64641626825435,0.329842623009567,-0.296362588114138,-43.598861,-19.375617
VE,1,115,26,5.78202319812504,0.9,83,-0.186096508677469,0.679457132278793,-0.313497389322882,0.430595742023451,-47.766533,-14.140214
VE,3,141,47,13.9257848752293,0.9,83.6,-0.72591823905045,-2.75559507375268,-0.275660631046433,0.371095120009417,-47.825525,-14.172967
VE,4,154,48,13.3381698371473,2,83.4,-0.330928996035916,-3.11838160772263,-0.131602936265267,0.29462511383868,-47.824256,-14.164053
VE,5,167,29,10.8081756554459,8.5,83.4,0.992714985301636,-0.594037594323012,-0.269082763108273,0.478485141081122,-47.781492,-14.149897
